dfo_stock_id,stock_id,crib_stock_id,crib_ncells,crib_stock_area,crib_sname,crib_cname,crib_sens,crib_sens_sd
Atlantic Cod - 2J3KL,COD_2J3KL,Atlantic Cod - 2J3KL,815,2J3KL,gadus morhua,atlantic cod,0.496729751,0.104221475
Atlantic Cod - 3Ps,COD_3Ps,Atlantic Cod - 3Ps,155,3Ps,gadus morhua,atlantic cod,0.673499963,0.070529293
Albacore Tuna - North Pacific,ALTUNA_PAC,Albacore Tuna - North Pacific,901,North Pacific,thunnus alalunga,albacore tuna,0.147400609,0.079448386
American Lobster - LFA 3-14c,LOB_NLAV_LFA7_to10,American Lobster - LFA 3-14c,933,LFA 3-14c,homarus americanus,american lobster,0.337473714,0.084643419
American Lobster - LFA 3-14c,LOB_NLNE_LFA3_to_6,American Lobster - LFA 3-14c,933,LFA 3-14c,homarus americanus,american lobster,0.337473714,0.084643419
American Lobster - LFA 3-14c,LOB_NLSC_LFA11_12,American Lobster - LFA 3-14c,933,LFA 3-14c,homarus americanus,american lobster,0.337473714,0.084643419
American Lobster - LFA 3-14c,LOB_NLWC_LFA13_14,American Lobster - LFA 3-14c,933,LFA 3-14c,homarus americanus,american lobster,0.337473714,0.084643419
American Plaice - Southern Gulf of St. Lawrence (4T),AMPLA_4T,American Plaice - Southern Gulf of St. Lawrence (4T),207,4T,hippoglossoides platessoides,american plaice,0.54707864,0.06906061
Atlantic Canada Dogfish - 4VWNX - 5,ATDOG_4VWNX_5,Atlantic Canada Dogfish - 4VWNX - 5,38,5,squalus acanthias,atlantic dogfish,0.323985619,0.058124783
Atlantic Cod - 4X5Y,COD_4X5Yb,Atlantic Cod - 4X5Y,151,4X5Y,gadus morhua,atlantic cod,0.646440918,0.053945791
Atlantic Cod - 5Zjm,COD_5Zjm,Atlantic Cod - 5Zjm,29,5Zjm,gadus morhua,atlantic cod,0.66234159,0.070921531
Atlantic Halibut - 3NOPs4VWX+5,ATHAL_3NOPs4VWX+5,Atlantic Halibut - 3NOPs4VWX+5,NA,NA,NA,NA,NA,NA
Atlantic Halibut - 4RST,ATHAL_4RST,Atlantic Halibut - 4RST,NA,NA,NA,NA,NA,NA
